"name","name_simbadable","raj2000","decj2000"
"CFBDS J100113.05+022622.3","CFBDS J100113+022622",150.3035,2.439
"SDSS J100401.41+005354.9","SDSS J100401.40+005355.0",151.0059,0.8987
"SDSS J100559.85+035842.3","2MASS J10055984+0358425",151.4994,3.9785
"ULAS J100703.55+013017.0","BRLT 122",151.7649,1.5046
"ULAS J101618.77+000028.0","BRLT 129",154.0784,0.008
"ULAS J101721.40+011817.9","ULAS J101721.40+011817.9",154.3404,1.3042
"SDSS J101951.13+044944.1","2MASS J10195117+0449444",154.9631,4.829
"SDSS J102204.88+020047.5","2MASS J10220489+0200477",155.5204,2.0133
"ULAS J102305.44+044739.2","ULAS J102305.44+044739.2",155.7734,4.7945
"WISE J102557.72+030755.7","WISE J102557.72+030755.7",156.494,3.1328
"SDSS J103026.78+021306.4","SDSS J103026.78+021306.4",157.6117,2.2185
"SDSS J103405.67+035016.3","2MASS J10340564+0350164",158.5235,3.8379
"WISEA J103602.80+030615.6","2MASS J10360307+0306160",159.0129,3.1044
